Latitude,Longitude,City,Country,Date,Temperature,Humidity,Cloudiness,Wind Speed
57.37,62.11,bulanash,RU,2021-01-13 10:34:15,-24.0,88.0,66.0,1.08
-24.21,-52.23,barbosa ferraz,BR,2021-01-13 10:34:16,23.0,88.0,99.0,1.03
-24.09,24.59,khudumelapye,BW,2021-01-13 10:34:16,32.88,29.0,14.0,6.1
36.85,-146.26,kahului,US,2021-01-13 10:34:17,21.24,73.0,40.0,4.12
-7.31,-46.89,riachao,BR,2021-01-13 10:34:18,24.05,86.0,1.0,2.01
-18.85,15.74,ondangwa,NA,2021-01-13 10:34:18,31.0,30.0,0.0,0.51
8.44,143.9,airai,TL,2021-01-13 10:34:19,18.13,100.0,100.0,0.76
39.1,88.6,korla,CN,2021-01-13 10:34:19,-5.56,79.0,40.0,0.2
-2.64,112.61,sampit,ID,2021-01-13 10:34:20,24.89,94.0,100.0,1.94
-13.64,-68.44,tambopata,PE,2021-01-13 10:34:20,22.69,99.0,72.0,0.65
-25.08,172.1,vao,NC,2021-01-13 10:34:21,25.57,83.0,97.0,8.61
18.92,-3.19,araouane,ML,2021-01-13 10:34:22,24.68,17.0,0.0,4.82
7.25,68.25,kulhudhuffushi,MV,2021-01-13 10:34:22,24.59,89.0,100.0,2.87
4.54,-15.84,bonthe,SL,2021-01-13 10:34:23,29.37,66.0,60.0,1.25
63.71,157.3,omsukchan,RU,2021-01-13 10:34:23,-33.53,83.0,100.0,1.55
48.1,139.1,mayskiy,RU,2021-01-13 10:34:24,3.0,93.0,90.0,10.0
-43.55,41.58,margate,GB,2021-01-13 10:31:22,4.61,87.0,100.0,0.45
-37.52,-89.13,lebu,CL,2021-01-13 10:34:25,11.6,72.0,41.0,5.5
-44.41,176.58,waipawa,NZ,2021-01-13 10:34:27,17.97,72.0,1.0,5.66
35.72,-50.04,torbay,CA,2021-01-13 10:34:27,-2.0,93.0,90.0,4.12
16.4,88.69,puri,IN,2021-01-13 10:34:28,31.0,51.0,40.0,1.54
-19.85,161.75,poum,NC,2021-01-13 10:34:29,28.15,80.0,92.0,7.2
20.31,114.51,zhuhai,CN,2021-01-13 10:34:30,14.9,41.0,0.0,2.57
78.47,156.34,cherskiy,RU,2021-01-13 10:34:30,-27.87,84.0,95.0,3.3
43.24,55.18,beyneu,KZ,2021-01-13 10:34:31,2.82,74.0,70.0,8.7
79.05,35.25,vardo,NO,2021-01-13 10:34:31,-16.0,78.0,0.0,18.52
8.17,88.32,port blair,IN,2021-01-13 10:34:32,26.3,78.0,41.0,6.46
62.3,52.91,borovoy,RU,2021-01-13 10:34:33,-22.0,77.0,0.0,6.0
4.47,-112.61,san patricio,US,2021-01-13 10:34:33,2.01,100.0,1.0,1.54
-13.24,122.9,kupang,ID,2021-01-13 10:34:34,28.0,89.0,40.0,1.03
37.53,-96.51,el dorado,US,2021-01-13 10:34:34,9.73,54.0,40.0,2.57
18.86,128.33,dicabisagan,PH,2021-01-13 10:34:35,22.59,84.0,95.0,3.64
54.39,32.33,shatalovo,RU,2021-01-13 10:34:36,-5.68,96.0,100.0,5.53
-26.2,164.76,noumea,NC,2021-01-13 10:26:16,26.74,88.0,0.0,4.63
62.55,112.75,chernyshevskiy,RU,2021-01-13 10:34:37,-32.07,86.0,100.0,3.2
10.38,147.84,lorengau,PG,2021-01-13 10:34:37,28.53,76.0,74.0,4.56
-28.08,99.8,carnarvon,AU,2021-01-13 10:34:38,27.0,74.0,0.0,9.26
2.3,-23.36,bubaque,GW,2021-01-13 10:34:39,24.85,46.0,0.0,6.74
62.11,-2.83,brae,GB,2021-01-13 10:34:39,4.0,81.0,20.0,5.14
5.75,-108.66,lazaro cardenas,MX,2021-01-13 10:34:40,22.96,53.0,100.0,1.86
